step,id,type,x,y,z
40,0,pursuer,134.21,110.463,153.272
40,1,pursuer,133.674,110.296,152.953
40,2,pursuer,143.084,109.972,153.409
40,3,pursuer,63.2295,54.1268,144.784
40,4,pursuer,184.982,161.118,153.675
40,5,pursuer,96.7148,58.1609,149.802
40,6,pursuer,172.569,165.39,148.539
40,7,pursuer,123.023,144.532,135.303
40,8,pursuer,188.304,161.425,153.766
40,9,pursuer,173.267,176.828,149.587
41,0,escaper,92.824,113.937,200.02
41,1,escaper,140.156,164.858,199.979
41,2,escaper,31.2927,58.472,199.996
41,0,pursuer,132.89,111.161,156.983
41,1,pursuer,132.405,111.007,156.68
41,2,pursuer,141.281,110.692,156.906
41,3,pursuer,62.9182,54.8583,148.705
41,4,pursuer,183.418,161.834,157.286
41,5,pursuer,94.4316,58.6042,153.056
41,6,pursuer,172.023,165.772,152.483
41,7,pursuer,123.229,143.183,139.063
41,8,pursuer,186.555,162.112,157.297
41,9,pursuer,172.632,176.315,153.503
42,0,escaper,92.9216,113.959,200.02
42,1,escaper,140.254,164.879,199.978
42,2,escaper,31.3904,58.4936,199.996
42,0,pursuer,131.445,111.832,160.652
42,1,pursuer,131.009,111.69,160.365
42,2,pursuer,139.377,111.386,160.355
42,3,pursuer,62.4669,55.5688,152.615
42,4,pursuer,181.74,162.524,160.851
42,5,pursuer,92.0779,59.03,156.262
42,6,pursuer,171.334,166.131,156.407
42,7,pursuer,123.317,141.819,142.822
42,8,pursuer,184.702,162.773,160.78
42,9,pursuer,171.858,175.785,157.391
43,0,escaper,93.0191,113.981,200.021
43,1,escaper,140.351,164.901,199.976
43,2,escaper,31.4879,58.5158,199.996
43,0,pursuer,129.869,112.473,164.272
43,1,pursuer,129.481,112.344,164.004
43,2,pursuer,137.369,112.051,163.749
43,3,pursuer,61.8708,56.2545,156.51
43,4,pursuer,179.945,163.182,164.365
43,5,pursuer,89.6556,59.4364,159.42
43,6,pursuer,170.494,166.464,160.304
43,7,pursuer,123.283,140.439,146.576
43,8,pursuer,182.742,163.404,164.209
43,9,pursuer,170.938,175.237,161.245
44,0,escaper,93.1165,114.004,200.021
44,1,escaper,140.449,164.924,199.975
44,2,escaper,31.5853,58.5385,199.996
44,0,pursuer,128.158,113.079,167.837
44,1,pursuer,127.816,112.962,167.588
44,2,pursuer,135.253,112.684,167.085
44,3,pursuer,61.1232,56.9114,160.385
44,4,pursuer,178.029,163.806,167.82
44,5,pursuer,87.1643,59.8214,162.525
44,6,pursuer,169.495,166.766,164.165
44,7,pursuer,123.12,139.043,150.321
44,8,pursuer,180.671,164.002,167.579
44,9,pursuer,169.863,174.668,165.055
45,0,escaper,93.2138,114.027,200.021
45,1,escaper,140.546,164.947,199.973
45,2,escaper,31.6826,58.5617,199.996
45,0,pursuer,126.307,113.646,171.337
45,1,pursuer,126.009,113.541,171.109
45,2,pursuer,133.03,113.281,170.356
45,3,pursuer,60.2138,57.5352,164.23
45,4,pursuer,175.986,164.391,171.208
45,5,pursuer,84.6007,60.1827,165.574
45,6,pursuer,168.329,167.035,167.982
45,7,pursuer,122.823,137.631,154.052
45,8,pursuer,178.485,164.563,170.881
45,9,pursuer,168.626,174.077,168.813
46,0,escaper,93.3109,114.051,200.021
46,1,escaper,140.643,164.971,199.972
46,2,escaper,31.7792,58.5872,199.996
46,0,pursuer,124.311,114.168,174.764
46,1,pursuer,124.055,114.076,174.558
46,2,pursuer,130.694,113.837,173.554
46,3,pursuer,59.1303,58.1572,168.029
46,4,pursuer,173.815,164.933,174.525
46,5,pursuer,81.9628,60.5551,168.558
46,6,pursuer,166.989,167.264,171.744
46,7,pursuer,122.386,136.203,157.762
46,8,pursuer,176.184,165.082,174.112
46,9,pursuer,167.222,173.462,172.508
47,0,escaper,93.408,114.075,200.022
47,1,escaper,140.74,164.995,199.97
47,2,escaper,31.8763,58.6114,199.996
47,0,pursuer,122.166,114.639,178.107
47,1,pursuer,121.948,114.56,177.924
47,2,pursuer,128.243,114.349,176.675
47,3,pursuer,57.8684,58.6945,171.787
47,4,pursuer,171.511,165.425,177.757
47,5,pursuer,79.2489,60.8584,171.481
47,6,pursuer,165.464,167.448,175.437
47,7,pursuer,121.802,134.76,161.447
47,8,pursuer,173.763,165.556,177.26
47,9,pursuer,165.641,172.82,176.126
48,0,escaper,93.5049,114.099,200.022
48,1,escaper,140.837,165.02,199.969
48,2,escaper,31.9727,58.6377,199.997
48,0,pursuer,119.864,115.054,181.352
48,1,pursuer,119.682,114.986,181.192
48,2,pursuer,125.675,114.811,179.706
48,3,pursuer,56.4126,59.213,175.476
48,4,pursuer,169.07,165.861,180.896
48,5,pursuer,76.4577,61.1625,174.33
48,6,pursuer,163.746,167.582,179.047
48,7,pursuer,121.064,133.3,165.097
48,8,pursuer,171.22,165.977,180.319
48,9,pursuer,163.877,172.15,179.653
49,0,escaper,93.6016,114.125,200.022
49,1,escaper,140.934,165.045,199.967
49,2,escaper,32.0695,58.6629,199.997
49,0,pursuer,117.397,115.402,184.482
49,1,pursuer,117.249,115.346,184.347
49,2,pursuer,122.983,115.216,182.637
49,3,pursuer,54.7579,59.636,179.093
